"","measured_percentN","Measured_Chl","measured_SLA","measured_Vmax","Measured_Sucrose","Wave_500","Wave_1600","Wave_2400"
"317",NA,NA,NA,NA,7.08216451,0.077959851,0.281527433,0.101214459
"318",NA,NA,NA,NA,5.432301161,0.061602728,0.272550906,0.074185798
"319",NA,NA,NA,NA,6.145560862,0.070401121,0.284228185,0.08212298
"320",NA,NA,NA,NA,8.804074295,0.056396776,0.281429406,0.076877871
"321",NA,NA,NA,NA,6.909253068,0.059839018,0.286432974,0.077984838
"322",NA,NA,NA,NA,4.546130016,0.05520631,0.264130275,0.071051339
"323",NA,NA,NA,NA,6.469769817,0.058274356,0.273966595,0.074804948
"324",NA,NA,NA,NA,7.08216451,0.070896711,0.285728509,0.073657758
"325",NA,NA,NA,NA,8.948167164,0.064852343,0.287165723,0.083605055
"326",NA,NA,NA,NA,4.776678607,0.068291695,0.275503926,0.090465901
"327",NA,NA,NA,NA,5.590803316,0.079235796,0.305758967,0.096705507
"328",NA,NA,NA,NA,5.018061754,0.073399741,0.286136262,0.089211096
"329",NA,NA,NA,NA,6.075961042,0.078747881,0.290933182,0.09637048
"330",NA,NA,NA,NA,5.403482587,0.090622996,0.288445676,0.090246093
"331",NA,NA,NA,NA,5.475529021,0.084598239,0.280910568,0.089734684
"332",NA,NA,NA,NA,5.425096517,0.068424139,0.27436379,0.090375787
"333",NA,NA,NA,NA,4.586550203,0.082559168,0.284039196,0.092490701
"334",NA,NA,NA,NA,8.150000436,0.080798177,0.295392186,0.104137581
"335",NA,NA,NA,NA,3.85576451,0.078568217,0.27782198,0.086681117
"336",NA,NA,NA,NA,7.701763847,0.077994774,0.294900411,0.096883031
"337",NA,NA,NA,NA,6.201238589,0.074814502,0.285125253,0.090258105
